experience_level;job_title;salary;employee_residence;remote_ratio;company_location;company_size
MI;Lead Data Analyst;19609;IN;100;IN;L
SE;Lead Data Engineer;276000;US;0;US;L
EN;Data Scientist;29751;IN;50;IN;L
MI;Cloud Data Engineer;89294;SG;50;SG;L
EN;AI Scientist;12000;BR;100;US;S
MI;Financial Data Analyst;450000;US;100;US;L
EN;Computer Vision Software Engineer;70000;US;100;US;M
MI;Computer Vision Software Engineer;95746;DE;100;US;S
MI;Data Analyst;75000;US;0;US;L
SE;Data Engineer;150000;US;100;US;L
MI;BI Data Analyst;36259;HU;50;US;L
MI;Data Analyst;62000;US;0;US;L
MI;Data Scientist;73000;US;0;US;L
MI;Data Analyst;51519;GB;50;GB;L
MI;Research Scientist;187442;CA;100;CA;L
SE;Data Engineer;115000;US;100;US;S
SE;Data Engineer;150000;US;100;US;M
EN;Data Engineer;30428;IN;100;IN;L
SE;Machine Learning Engineer;94564;DE;50;DE;L
SE;Director of Data Engineering;113476;GB;100;GB;M
SE;Lead Data Engineer;103160;GB;100;GB;S
EN;AI Scientist;12000;PK;100;US;M
MI;Data Engineer;45391;NL;100;NL;L
EN;Machine Learning Scientist;225000;US;100;US;L
MI;Data Scientist;50000;NG;100;NG;L
MI;Data Science Engineer;40189;GR;100;GR;M
EN;Data Analyst;90000;US;100;US;S
MI;Data Engineer;200000;US;100;US;L
MI;Big Data Engineer;60000;ES;50;RO;M
SE;Principal Data Engineer;200000;US;100;US;M
EN;Data Analyst;50000;US;100;US;M
EN;Applied Data Scientist;110037;GB;0;GB;L
EN;Data Analyst;10354;ES;50;ES;M
MI;Principal Data Scientist;151000;US;100;US;L
SE;Machine Learning Scientist;120000;US;50;US;S
MI;Data Scientist;9466;IN;0;IN;S
EN;Machine Learning Engineer;20000;IN;100;IN;S
SE;Lead Data Scientist;40570;IN;50;IN;L
EN;Machine Learning Developer;100000;IQ;50;IQ;S
EN;Data Scientist;49646;FR;50;FR;M
MI;Applied Machine Learning Scientist;38400;VN;100;US;M
SE;Computer Vision Engineer;24000;BR;100;BR;M
EN;Data Scientist;100000;US;0;US;S
MI;Data Analyst;90000;US;100;US;M
MI;ML Engineer;63711;JP;50;JP;S
MI;ML Engineer;77364;JP;50;JP;S
SE;Principal Data Scientist;220000;US;0;US;L
EN;Data Scientist;80000;US;100;US;M
MI;Data Analyst;135000;US;100;US;L
SE;Data Science Manager;240000;US;0;US;L
SE;Data Engineering Manager;150000;US;0;US;L
MI;Data Scientist;82500;US;100;US;S
MI;Data Engineer;100000;US;100;US;L
SE;Machine Learning Engineer;82744;BE;50;BE;M
MI;Research Scientist;62649;FR;50;FR;M
MI;Data Engineer;90000;US;100;US;L
SE;Data Engineering Manager;153000;US;100;US;L
SE;Cloud Data Engineer;160000;BR;100;US;S
SE;Director of Data Science;168000;JP;0;JP;S
MI;Data Scientist;150000;US;100;US;M
MI;Data Scientist;75774;CA;100;CA;L
EN;Data Scientist;13400;UA;100;UA;L
SE;Data Science Manager;144000;US;100;US;L
SE;Data Science Engineer;127221;CA;50;CA;L
MI;Data Scientist;119059;SG;100;IL;M
MI;Applied Machine Learning Scientist;423000;US;50;US;L
SE;Data Analytics Manager;120000;US;100;US;M
EN;Machine Learning Engineer;125000;US;100;US;S
EX;Head of Data;230000;RU;50;RU;L
EX;Head of Data Science;85000;RU;0;RU;M
MI;Data Engineer;28369;MT;50;MT;L
EN;Data Science Consultant;63831;DE;50;DE;L
EX;Director of Data Science;130026;DE;50;DE;M
SE;Data Specialist;165000;US;100;US;L
EN;Data Engineer;80000;US;100;US;L
EX;Director of Data Science;250000;US;0;US;L
EN;BI Data Analyst;55000;US;50;US;S
MI;Data Architect;150000;US;100;US;L
MI;Data Architect;170000;US;100;US;L
MI;Data Engineer;82528;GB;100;GB;L
EN;Data Analyst;60000;US;100;US;S
SE;Principal Data Scientist;235000;US;100;US;L
SE;Research Scientist;60757;PT;50;PT;L
SE;Data Engineering Manager;174000;US;100;US;L
MI;Data Scientist;2859;MX;0;MX;S
MI;Data Scientist;40038;CL;100;CL;L
EN;Machine Learning Engineer;81000;US;50;US;S
MI;Data Scientist;5679;IN;100;US;S
MI;Big Data Engineer;22611;IN;0;IN;L
MI;Data Scientist;90734;DE;50;DE;L
MI;Data Engineer;26005;RO;0;US;L
SE;Finance Data Analyst;61896;GB;50;GB;L
MI;Machine Learning Scientist;12000;PK;50;PK;M
MI;Data Engineer;4000;IR;100;IR;M
SE;Data Analytics Engineer;50000;VN;100;GB;M
EX;Data Science Consultant;69741;FR;100;ES;S
SE;Data Engineer;76833;RO;50;GB;S
MI;Machine Learning Engineer;74000;JP;50;JP;S
SE;Data Science Manager;152000;US;100;FR;L
EN;Machine Learning Engineer;21844;CO;50;CO;M
MI;Big Data Engineer;18000;MD;0;MD;S
SE;Data Science Manager;174000;US;100;US;L
SE;Research Scientist;96113;CA;50;CA;L
MI;Data Scientist;147000;US;50;US;L
EN;BI Data Analyst;9272;KE;100;KE;S
SE;Machine Learning Engineer;24342;IN;100;IN;L
SE;Data Science Manager;54094;IN;50;US;L
EN;Data Science Consultant;90000;US;100;US;S
MI;Data Scientist;61467;DE;50;AT;M
SE;Machine Learning Infrastructure Engineer;195000;US;100;US;M
MI;Data Scientist;37825;ES;100;ES;L
SE;Research Scientist;50000;FR;100;US;S
MI;Data Scientist;160000;US;100;US;L
MI;Data Scientist;12901;BR;0;BR;S
SE;Machine Learning Engineer;200000;US;100;US;L
SE;Data Engineer;165000;US;0;US;M
MI;Data Engineer;20000;IT;0;US;L
SE;Data Analytics Manager;120000;US;0;US;L
MI;Machine Learning Engineer;24823;SI;50;SI;L
MI;Research Scientist;56738;FR;50;FR;S
MI;Data Engineer;66022;HK;50;GB;S
EN;Big Data Engineer;5882;IN;0;CH;L
EN;Machine Learning Engineer;24823;DE;50;DE;M
SE;Principal Data Engineer;185000;US;100;US;L
EN;Computer Vision Engineer;28609;DK;50;DK;S
MI;Data Scientist;90734;DE;50;DE;L
MI;Machine Learning Engineer;88654;BE;100;BE;M
SE;Data Analytics Manager;140000;US;100;US;L
MI;Machine Learning Engineer;46597;PL;100;PL;L
MI;Data Scientist;116914;GB;50;GB;L
MI;Data Scientist;33808;IN;0;IN;M
MI;Data Scientist;56256;GB;50;GB;L
SE;Machine Learning Scientist;225000;US;100;CA;L
EX;Principal Data Scientist;416000;US;100;US;S
SE;Data Scientist;87738;CA;100;CA;S
MI;Data Scientist;88654;DE;50;DE;L
SE;Data Scientist;135000;US;0;US;L
SE;Data Analyst;71786;CA;100;CA;M
EN;Big Data Engineer;16228;IN;100;IN;L
SE;ML Engineer;256000;US;100;US;S
SE;Director of Data Engineering;200000;US;100;US;L
SE;Data Analyst;200000;US;100;US;L
MI;Data Architect;180000;US;100;US;L
MI;Head of Data Science;110000;US;0;US;S
MI;Research Scientist;63810;CA;100;CA;M
MI;Data Scientist;46809;ES;100;ES;M
EN;Data Scientist;4000;VN;0;VN;M
EN;Data Engineer;21637;IN;50;IN;M
SE;Data Scientist;103691;CA;100;CA;L
MI;Data Analyst;80000;US;100;US;L
MI;Data Engineer;110000;US;100;US;L
SE;Data Scientist;165000;US;100;US;L
EN;AI Scientist;18053;IN;100;AS;S
MI;Data Engineer;72212;GB;50;GB;L
EN;Data Scientist;36643;FR;50;FR;L
MI;Data Engineer;12103;TR;0;TR;M
SE;Data Engineer;96282;GB;50;GB;L
SE;Principal Data Analyst;170000;US;100;US;M
MI;Data Scientist;115000;US;50;US;L
EN;Data Scientist;90000;US;100;US;S
EX;Principal Data Engineer;600000;US;100;US;L
EN;Data Scientist;28399;IN;100;IN;M
MI;Data Analyst;93000;US;100;US;L
SE;Big Data Architect;99703;CA;50;CA;M
MI;Data Engineer;200000;US;100;US;L
SE;Principal Data Scientist;173762;DE;100;DE;M
SE;Machine Learning Engineer;185000;US;50;US;L
EX;Director of Data Science;141846;DE;0;DE;L
MI;Data Scientist;130000;US;50;US;L
SE;Data Analyst;63831;DE;50;DE;L
MI;Data Scientist;16904;IN;100;IN;S
SE;Machine Learning Engineer;66265;IN;0;IN;L
MI;Data Scientist;25532;RS;100;DE;S
SE;Lead Data Engineer;160000;PR;50;US;S
MI;Data Engineer;93150;US;0;US;M
MI;Data Engineer;111775;US;0;US;M
MI;Data Engineer;28016;TR;100;TR;M
EN;Data Engineer;65013;DE;50;DE;M
EN;Data Engineer;72500;US;100;US;L
SE;Computer Vision Engineer;18907;BR;0;BR;M
EN;Data Science Consultant;76833;DE;0;DE;L
EN;Machine Learning Engineer;85000;NL;100;DE;S
SE;Data Scientist;77684;FR;50;FR;M
EN;Data Scientist;100000;US;100;US;M
EN;Data Scientist;58000;US;50;US;L
SE;AI Scientist;55000;ES;100;ES;L
SE;Data Scientist;20171;TR;50;TR;L
EN;Business Data Analyst;59102;LU;100;LU;L
MI;Data Engineer;112000;US;100;US;L
EN;Research Scientist;100000;JE;0;CN;L
MI;Data Engineer;69741;NL;100;NL;L
SE;Staff Data Scientist;105000;US;100;US;M
MI;Research Scientist;69999;CZ;50;CZ;L
SE;Data Science Manager;94665;IN;50;IN;L
SE;Head of Data;102839;SI;100;SI;L
MI;Data Scientist;109000;US;50;US;L
MI;Machine Learning Engineer;51064;IT;50;IT;L
SE;Data Engineer;135000;US;100;US;M
SE;Data Analyst;155000;US;100;US;M
SE;Data Analyst;120600;US;100;US;M
MI;Data Scientist;130000;US;0;US;M
MI;Data Scientist;90000;US;0;US;M
MI;Data Engineer;170000;US;100;US;M
MI;Data Engineer;150000;US;100;US;M
SE;Data Analyst;102100;US;100;US;M
SE;Data Analyst;84900;US;100;US;M
SE;Data Scientist;136620;US;100;US;M
SE;Data Scientist;99360;US;100;US;M
SE;Data Scientist;117789;GB;0;GB;M
SE;Data Scientist;104702;GB;0;GB;M
SE;Data Scientist;146000;US;100;US;M
SE;Data Scientist;123000;US;100;US;M
EN;Data Engineer;52351;GB;100;GB;M
SE;Data Analyst;99000;US;0;US;M
SE;Data Analyst;116000;US;0;US;M
MI;Data Analyst;106260;US;0;US;M
MI;Data Analyst;126500;US;0;US;M
EX;Data Engineer;242000;US;100;US;M
EX;Data Engineer;200000;US;100;US;M
MI;Data Scientist;65438;GB;0;GB;M
MI;Data Scientist;39263;GB;0;GB;M
MI;Data Engineer;78526;GB;0;GB;M
MI;Data Engineer;52351;GB;0;GB;M
SE;Data Scientist;165220;US;100;US;M
EN;Data Engineer;45807;GB;100;GB;M
SE;Data Scientist;120160;US;100;US;M
SE;Data Analyst;90320;US;100;US;M
SE;Data Engineer;181940;US;0;US;M
SE;Data Engineer;132320;US;0;US;M
SE;Data Engineer;220110;US;0;US;M
SE;Data Engineer;160080;US;0;US;M
SE;Data Scientist;180000;US;0;US;L
SE;Data Scientist;120000;US;0;US;L
SE;Data Analyst;124190;US;100;US;M
EX;Data Analyst;130000;US;100;US;M
EX;Data Analyst;110000;US;100;US;M
SE;Data Analyst;170000;US;100;US;M
MI;Data Analyst;115500;US;100;US;M
SE;Data Analyst;112900;US;100;US;M
SE;Data Analyst;90320;US;100;US;M
SE;Data Analyst;112900;US;100;US;M
SE;Data Analyst;90320;US;100;US;M
SE;Data Engineer;165400;US;100;US;M
SE;Data Engineer;132320;US;100;US;M
MI;Data Analyst;167000;US;100;US;M
SE;Data Engineer;243900;US;100;US;M
SE;Data Analyst;136600;US;100;US;M
SE;Data Analyst;109280;US;100;US;M
SE;Data Engineer;128875;US;100;US;M
SE;Data Engineer;93700;US;100;US;M
EX;Head of Data Science;224000;US;100;US;M
EX;Head of Data Science;167875;US;100;US;M
EX;Analytics Engineer;175000;US;100;US;M
SE;Data Engineer;156600;US;100;US;M
SE;Data Engineer;108800;US;0;US;M
SE;Data Scientist;95550;US;0;US;M
SE;Data Engineer;113000;US;0;US;L
SE;Data Analyst;135000;US;100;US;M
SE;Data Science Manager;161342;US;100;US;M
SE;Data Science Manager;137141;US;100;US;M
SE;Data Scientist;167000;US;100;US;M
SE;Data Scientist;123000;US;100;US;M
SE;Data Engineer;78526;GB;0;GB;M
SE;Data Engineer;65438;GB;0;GB;M
SE;Data Scientist;150000;US;0;US;M
SE;Data Scientist;211500;US;100;US;M
SE;Data Architect;192400;CA;100;CA;M
SE;Data Architect;90700;CA;100;CA;M
SE;Data Analyst;130000;CA;100;CA;M
SE;Data Analyst;61300;CA;100;CA;M
SE;Data Analyst;130000;CA;100;CA;M
SE;Data Analyst;61300;CA;100;CA;M
SE;Data Engineer;160000;US;0;US;L
SE;Data Scientist;138600;US;100;US;M
SE;Data Engineer;136000;US;0;US;M
MI;Data Analyst;58000;US;0;US;S
EX;Analytics Engineer;135000;US;100;US;M
SE;Data Scientist;170000;US;100;US;M
SE;Data Scientist;123000;US;100;US;M
SE;Machine Learning Engineer;189650;US;0;US;M
SE;Machine Learning Engineer;164996;US;0;US;M
MI;ETL Developer;54957;GR;0;GR;M
MI;ETL Developer;54957;GR;0;GR;M
EX;Lead Data Engineer;118187;CA;100;CA;S
SE;Data Analyst;132000;US;0;US;M
SE;Data Engineer;165400;US;100;US;M
SE;Data Architect;208775;US;100;US;M
SE;Data Architect;147800;US;100;US;M
SE;Data Engineer;136994;US;100;US;M
SE;Data Engineer;101570;US;100;US;M
SE;Data Analyst;128875;US;100;US;M
SE;Data Analyst;93700;US;100;US;M
EX;Head of Machine Learning;79039;IN;50;IN;L
SE;Data Engineer;132320;US;100;US;M
EN;Machine Learning Engineer;37300;GB;100;GB;L
SE;Data Analyst;164000;US;0;US;M
SE;Data Engineer;155000;US;100;US;M
MI;Machine Learning Engineer;124333;GB;0;GB;M
MI;Machine Learning Engineer;98158;GB;0;GB;M
MI;AI Scientist;120000;US;0;US;M
SE;Data Analyst;112900;US;100;US;M
SE;Data Analyst;90320;US;100;US;M
SE;Data Analytics Manager;145000;US;100;US;M
SE;Data Analytics Manager;105400;US;100;US;M
MI;Machine Learning Engineer;87932;FR;100;DE;M
MI;Data Engineer;117789;GB;0;GB;M
SE;Data Scientist;215300;US;100;US;L
SE;Data Scientist;158200;US;100;US;L
SE;Data Engineer;209100;US;100;US;L
SE;Data Engineer;154600;US;100;US;L
SE;Data Analyst;115934;US;0;US;M
SE;Data Analyst;81666;US;0;US;M
SE;Data Engineer;175000;US;100;US;M
MI;Data Engineer;98158;GB;0;GB;M
MI;Data Analyst;58000;US;0;US;S
SE;Data Engineer;183600;US;100;US;L
MI;Data Analyst;52351;GB;100;GB;M
SE;Data Scientist;180000;US;100;US;M
MI;Data Scientist;71982;GB;0;GB;M
MI;Data Scientist;45807;GB;0;GB;M
MI;Data Engineer;65949;GR;100;GR;M
MI;Data Engineer;49461;GR;100;GR;M
MI;Data Engineer;78526;GB;100;GB;M
MI;Data Engineer;58894;GB;100;GB;M
SE;Data Scientist;260000;US;100;US;M
SE;Data Science Engineer;60000;AR;100;MX;L
MI;Data Engineer;63900;US;0;US;M
MI;Machine Learning Scientist;160000;US;100;US;L
MI;Machine Learning Scientist;112300;US;100;US;L
MI;Data Science Manager;241000;US;100;US;M
MI;Data Science Manager;159000;US;100;US;M
SE;Data Scientist;180000;US;0;US;M
SE;Data Scientist;80000;US;0;US;M
MI;Data Engineer;82900;US;0;US;M
SE;Data Engineer;100800;US;100;US;L
MI;Data Engineer;49461;ES;100;ES;M
SE;Data Scientist;140400;US;0;US;L
MI;Data Analyst;39263;GB;100;GB;M
MI;Data Analyst;43966;ES;100;ES;M
MI;Data Analyst;32974;ES;100;ES;M
MI;Data Engineer;87932;ES;100;ES;M
MI;Data Engineer;76940;ES;100;ES;M
MI;Data Engineer;104702;GB;100;GB;M
MI;Data Engineer;91614;GB;100;GB;M
MI;Data Engineer;65949;ES;100;ES;M
MI;Data Engineer;87932;GR;100;GR;M
SE;Machine Learning Engineer;189650;US;0;US;M
SE;Machine Learning Engineer;164996;US;0;US;M
MI;Data Analyst;43966;GR;100;GR;M
MI;Data Analyst;32974;GR;100;GR;M
MI;Data Engineer;98158;GB;100;GB;M
MI;Data Engineer;78526;GB;100;GB;M
SE;Data Scientist;215300;US;0;US;L
MI;Data Engineer;76940;GR;100;GR;M
SE;Data Engineer;209100;US;100;US;L
SE;Data Engineer;154600;US;100;US;L
SE;Data Engineer;180000;US;100;US;M
EN;ML Engineer;21983;PT;100;PT;L
SE;Data Engineer;80000;US;100;US;M
MI;Machine Learning Developer;78791;CA;100;CA;M
EX;Director of Data Science;196979;CA;50;CA;L
MI;Machine Learning Engineer;120000;US;100;US;S
EN;Computer Vision Engineer;125000;US;0;US;M
MI;NLP Engineer;37236;US;50;US;L
SE;Data Engineer;105000;US;100;US;M
SE;Lead Machine Learning Engineer;87932;DE;0;DE;M
MI;Business Data Analyst;18442;IN;100;IN;M
MI;Data Scientist;31615;IN;100;IN;L
MI;Machine Learning Infrastructure Engineer;58255;PT;50;PT;L
EN;Financial Data Analyst;100000;US;50;US;L
MI;Data Engineer;54957;DE;50;DE;L
EN;Data Scientist;18442;IN;100;IN;M
SE;Principal Data Scientist;162674;DE;100;DE;M
EN;Data Engineer;120000;US;100;US;M
SE;Research Scientist;144000;US;50;US;L
SE;Data Scientist;104890;US;100;US;M
SE;Data Engineer;100000;US;100;US;M
SE;Data Scientist;140000;US;100;US;M
MI;Data Analyst;135000;US;100;US;M
MI;Data Analyst;50000;US;100;US;M
SE;Data Scientist;220000;US;100;US;M
SE;Data Scientist;140000;US;100;US;M
MI;Data Scientist;183228;GB;0;GB;M
MI;Data Scientist;91614;GB;0;GB;M
SE;Data Scientist;185100;US;100;US;M
SE;Machine Learning Engineer;220000;US;100;US;M
MI;Data Scientist;200000;US;100;US;M
MI;Data Scientist;120000;US;100;US;M
SE;Machine Learning Engineer;120000;AE;100;AE;S
SE;Machine Learning Engineer;65000;AE;100;AE;S
EX;Data Engineer;324000;US;100;US;M
EX;Data Engineer;216000;US;100;US;M
SE;Data Engineer;210000;US;100;US;M
SE;Machine Learning Engineer;120000;US;100;US;M
SE;Data Scientist;230000;US;100;US;M
EN;Data Scientist;100000;DZ;50;DZ;M
MI;Data Scientist;100000;CA;100;US;M
EN;Applied Machine Learning Scientist;31875;TN;100;CZ;M
SE;Head of Data;200000;MY;100;US;M
MI;Principal Data Analyst;75000;CA;100;CA;S
MI;Data Scientist;35590;PL;100;PL;L
SE;Machine Learning Developer;78791;CA;100;CA;M
SE;Data Scientist;100000;BR;100;US;M
MI;Machine Learning Scientist;153000;US;50;US;M
EN;Data Engineer;58035;PK;100;DE;M
SE;Data Scientist;165000;US;100;US;M
SE;Research Scientist;93427;FR;50;FR;L
EN;Data Scientist;52396;CA;100;CA;L
SE;Machine Learning Engineer;62651;NL;100;NL;L
MI;Head of Data;32974;EE;100;EE;S
EN;Data Scientist;40000;JP;100;MY;L
MI;Machine Learning Engineer;87425;AU;100;AU;L
SE;Data Engineer;115000;US;100;US;M
EN;Data Scientist;86703;AU;50;AU;M
MI;Applied Machine Learning Scientist;75000;BO;100;US;L
MI;Research Scientist;64849;AT;0;AT;L
EN;Research Scientist;120000;US;100;US;L
MI;Applied Data Scientist;157000;US;100;US;L
EN;Computer Vision Software Engineer;150000;AU;100;AU;S
MI;Business Data Analyst;70912;CA;50;CA;L
EN;Data Engineer;65000;US;100;US;S
SE;Machine Learning Engineer;71444;IE;100;IE;S
EN;Data Analytics Engineer;20000;PK;0;PK;M
MI;Data Scientist;48000;RU;100;US;S
SE;Data Science Manager;152500;US;100;US;M
MI;Data Engineer;68147;FR;100;FR;M
MI;Data Scientist;122346;CH;0;CH;L
SE;Applied Data Scientist;380000;US;100;US;L
MI;Data Scientist;69336;CA;100;CA;M
EN;Computer Vision Engineer;10000;PT;100;LU;M
MI;Data Analyst;20000;GR;100;GR;S
SE;Data Analytics Lead;405000;US;100;US;L
MI;Data Scientist;135000;US;100;US;L
SE;Applied Data Scientist;177000;US;100;US;L
MI;Data Scientist;78000;US;100;US;M
SE;Data Analyst;135000;US;100;US;M
SE;Data Analyst;100000;US;100;US;M
SE;Data Analyst;90320;US;100;US;M
MI;Data Analyst;85000;CA;0;CA;M
MI;Data Analyst;75000;CA;0;CA;M
SE;Machine Learning Engineer;214000;US;100;US;M
SE;Machine Learning Engineer;192600;US;100;US;M
SE;Data Architect;266400;US;100;US;M
SE;Data Architect;213120;US;100;US;M
SE;Data Analyst;112900;US;100;US;M
SE;Data Engineer;155000;US;100;US;M
MI;Data Scientist;141300;US;0;US;M
MI;Data Scientist;102100;US;0;US;M
SE;Data Analyst;115934;US;100;US;M
SE;Data Analyst;81666;US;100;US;M
MI;Data Engineer;206699;US;0;US;M
MI;Data Engineer;99100;US;0;US;M
SE;Data Engineer;130000;US;100;US;M
SE;Data Engineer;115000;US;100;US;M
SE;Data Engineer;110500;US;100;US;M
SE;Data Engineer;130000;US;100;US;M
SE;Data Analyst;99050;US;100;US;M
SE;Data Engineer;160000;US;100;US;M
SE;Data Scientist;205300;US;0;US;L
SE;Data Scientist;140400;US;0;US;L
SE;Data Scientist;176000;US;100;US;M
SE;Data Scientist;144000;US;100;US;M
SE;Data Engineer;200100;US;100;US;M
SE;Data Engineer;160000;US;100;US;M
SE;Data Engineer;145000;US;100;US;M
SE;Data Engineer;70500;US;0;US;M
SE;Data Scientist;205300;US;0;US;M
SE;Data Scientist;140400;US;0;US;M
SE;Analytics Engineer;205300;US;0;US;M
SE;Analytics Engineer;184700;US;0;US;M
SE;Data Engineer;175100;US;100;US;M
SE;Data Engineer;140250;US;100;US;M
SE;Data Analyst;116150;US;100;US;M
SE;Data Engineer;54000;US;0;US;M
SE;Data Analyst;170000;US;100;US;M
MI;Data Analyst;65438;GB;0;GB;M
SE;Data Analyst;80000;US;100;US;M
SE;Data Scientist;140000;US;100;US;M
SE;Data Scientist;210000;US;100;US;M
SE;Data Scientist;140000;US;100;US;M
SE;Data Analyst;100000;US;100;US;M
SE;Data Analyst;69000;US;100;US;M
SE;Data Scientist;210000;US;100;US;M
SE;Data Scientist;140000;US;100;US;M
SE;Data Scientist;210000;US;100;US;M
SE;Data Analyst;150075;US;100;US;M
SE;Data Engineer;100000;US;100;US;M
SE;Data Engineer;25000;US;100;US;M
SE;Data Analyst;126500;US;100;US;M
SE;Data Analyst;106260;US;100;US;M
SE;Data Engineer;220110;US;100;US;M
SE;Data Engineer;160080;US;100;US;M
SE;Data Analyst;105000;US;100;US;M
SE;Data Analyst;110925;US;100;US;M
MI;Data Analyst;45807;GB;0;GB;M
SE;Data Scientist;140000;US;100;US;M
SE;Data Analyst;99000;US;0;US;M
SE;Data Analyst;60000;US;100;US;M
SE;Data Architect;192564;US;100;US;M
SE;Data Architect;144854;US;100;US;M
SE;Data Scientist;230000;US;100;US;M
SE;Data Scientist;150000;US;100;US;M
SE;Data Analytics Manager;150260;US;100;US;M
SE;Data Analytics Manager;109280;US;100;US;M
SE;Data Scientist;210000;US;100;US;M
SE;Data Analyst;170000;US;100;US;M
MI;Data Scientist;160000;US;100;US;M
MI;Data Scientist;130000;US;100;US;M
EN;Data Analyst;67000;CA;0;CA;M
EN;Data Analyst;52000;CA;0;CA;M
SE;Data Engineer;154000;US;100;US;M
SE;Data Engineer;126000;US;100;US;M
SE;Data Analyst;129000;US;0;US;M
SE;Data Analyst;150000;US;100;US;M
MI;AI Scientist;200000;IN;100;US;L
