FAMILIA,GRUPO,ARTÍCULO,NOMBRE,IMPORTE
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.21,CIRUGÍA MENOR AMB.: EXCISION DE CHALACIÓN,353.44 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.22,CIRUGÍA MENOR AMB.: EXCISION DE OTRA LESION MENOR DE PARPADO,353.44 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.25,CIRUGÍA MENOR AMB.: DESTRUCCION DE LESION DE PARPADO,353.44 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.41,CIRUGÍA MENOR AMB.: REPARACION DE ENTROPIÓN O ECTROPIÓN POR TERMOCAUTERIZACIÓN,1060.33 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.42,CIRUGÍA MENOR AMB.: REPARACION DE ENTROPIÓN O ECTROPIÓN POR TECNICA DE SUTURA,1060.33 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.43,CIRUGÍA MENOR AMB.: REPARACION DE ENTROPIÓN O ECTROPIÓN CON RESECCION EN CUÑA,1060.33 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.44,CIRUGÍA MENOR AMB.: REPARACION DE ENTROPIÓN O ECTROPIÓN CON RECONSTRUCCION DEL PARPADO,1060.33 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.49,CIRUGÍA MENOR AMB.: OTRA REPARACION DE ENTROPIÓN O ECTROPIÓN,1060.33 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.9,CIRUGÍA MENOR AMB.: OPERACIONES SOBRE EL APARATO LACRIMAL.,636.34 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.11.31,CIRUGÍA MENOR AMB.: TRANSPOSICION DE PTERIGIÓN,918.51 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.11.32,CIRUGÍA MENOR AMB.: EXCISION DE PTERIGIÓN CON INJERTO CORNEAL,918.51 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.11.39,CIRUGÍA MENOR AMB.: OTRA EXCISION DE PTERIGIÓN,918.51 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.25.91,CIRUGÍA MENOR AMB.: FRENECTOMÍA LINGUAL,120.14 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.25.92,CIRUGÍA MENOR AMB.: FRENOTOMÍA LINGUAL,120.14 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.1,CIRUGÍA MENOR AMB.: ASPIRACION DE PIEL Y TEJIDO SUBCUTANEO,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.3,CIRUGÍA MENOR AMB.: EXTIRPACION O DESTRUCCION DE LESION O TEJIDO DE PIEL TEJIDO CELULAR SUBCTÁNEO,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.4,CIRUGÍA MENOR AMB.: INCISION CON DRENAJE DE PIEL SUBCUTANEO,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.5,CIRUGÍA MENOR AMB.: INCISION CON EXTRACCION DE CUERPO EXTRAÑO DE PIEL Y TEJIDO SUBCUTANEO,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.9,CIRUGÍA MENOR AMB.: OTRA INCISION DE PIEL Y TEJIDO SUBCUTANEO,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.22,CIRUGÍA MENOR AMB.: DESBRIDAMIENTO EXCISIONAL DE HERIDA. INFECCION O QUEMADURA DE PIEL Y SUBCUTANEO,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.23,CIRUGÍA MENOR AMB.: EXTRACCION DE UÑA. BASE DE UÑA O PLIEGUE DE UÑA,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.24,CIRUGÍA MENOR AMB.: QUIMIOCIRUGÍA DE PIEL,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.25,CIRUGÍA MENOR AMB.: ABRASION DERMICA,488.28 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.86.27,CIRUGÍA MENOR AMB.: DESBRIDAMIENTO DE UÑA. BASE DE UÑA O PLIEGUE DE UÑA,488.28 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.55.1,FISIOTERAPIA-REHAB. PROCEDIMIENTOS TERAPEÚTICOS: TERAPIA INDIVIDUAL,81.15 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.55.2,FISIOTERAPIA-REHAB. PROCEDIMIENTOS TERAPEÚTICOS: TERAPIA GRUPAL,161.55 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.55.3,FISIOTERAPIA-REHAB. PROCEDIMIENTOS TERAPEÚTICOS: TERAPIA DE FAMILIA,121.72 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.55.4,FISIOTERAPIA-REHAB. PROCEDIMIENTOS TERAPEÚTICOS: TERAPIA OCUPACIONAL (NO INCLUIDO COSTE MATERIAL),121.72 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.56,FISIOTERAPIA-REHAB. SESIÓN DE TRACCIONES VERTEBRALES,4.43 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.57,FISIOTERAPIA-REHAB. SESIÓN ELECTROTERAPIA/ONDA CORTA/MICROONDA,4.43 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.58,FISIOTERAPIA-REHAB. SESIÓN LASERTERAPIA,4.43 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.59,FISIOTERAPIA-REHAB. SESIÓN TERAPIAS MANUALES,16.23 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.60,FISIOTERAPIA-REHAB. ORTESIS (POR SESIÓN)(NO INCLUYE COSTE DE MATERIAL),16.23 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.61,FISIOTERAPIA-REHAB. PRÓTESIS (POR SESIÓN)(NO INCLUYE COSTE DE MATERIAL),16.23 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.62,FISIOTERAPIA-REHAB. CORSÉS (POR SESIÓN) (NO INCLUYE COSTE DE MATERIAL),16.23 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.63,FISIOTERAPIA-REHAB. SESIÓN CINESITERAPIA RESPIRATORIA,9.59 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.64,FISIOTERAPIA-REHAB. SESIÓN LOGOTERAPIA,8.85 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.65,FISIOTERAPIA-REHAB. SESIÓN TERAPIA OCUPACIONAL,8.85 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.66,FISIOTERAPIA-REHAB. SESIÓN DE INFRARROJOS,4.43 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.67,FISIOTERAPIA-REHAB. SESIÓN DE REHABILITACIÓN PARALÍTICOS CEREBRALES,16.23 
I. ATENCIÓN PRIMARIA,I.5 FISIOTERAPIA-REHABILITACIÓN,I.5.68,FISIOTERAPIA-REHAB. INFILTRACIONES,32.46 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.1,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACETAMINOFENO,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.2,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACETILCOLINESTERASA,0.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.3,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACIDEZ TITULABLE,0.70 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.4,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACIDOS BILIARES,17.47 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.5,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACIDOS GRASOS FRACCIONADOS (HECES),18.64 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.6,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACIDOS GRASOS LIBRES (HECES),2.33 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.7,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACTH,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.8,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ACTIVADOR TISULAR DEL PLASMINÓGENO,13.24 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.9,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ADENOSINADEAMINASA,2.33 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.10,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: AGREGACION PLAQUETARIA COLAGENO,26.48 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.11,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALANINA AMINOTRANSFERASA,0.23 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.12,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALBUMINA,0.23 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.13,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALDOLASA,1.63 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.14,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALDOSTERONA,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.15,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA 1 ANTITRIPSINA,6.99 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.16,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA 1 GLICOPROTEINA ACIDA,6.99 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.17,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA 2 ANTIPLASMINA,13.24 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.18,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA 2 MACROGLOBULINA,6.99 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.19,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA AMILASA,0.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.20,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA AMILASA PANCREATICA,1.16 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.21,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA FETOPROTEINA,9.32 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.22,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALFA NAFTIL ACETATO ESTERASA.,37.07 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.23,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ALUMINIO,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.24,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: AMIKACINA,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.25,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: AMINOACIDOS,17.47 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.26,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: AMITRIPTILINA,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.27,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: AMONIO,3.49 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.28,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: AMP CICLICO,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.29,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANDROSTENEDIONA,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.30,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANFETAMINAS (ORINA),11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.31,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANGIOTENSINA II,11.65 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.32,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTIBIOGRAMA DILUCIÓN. CMI,29.14 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.33,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTIBIOGRAMA MICOBACTERIAS,94.89 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.34,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICOAGULANTE LÚPICO,18.53 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.35,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANT IIA2,168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.36,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI BETA 2 GLICOPROTEINA,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.37,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI dsDNA,56.13 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.38,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI JO-1,84.61 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.39,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI KU,168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.40,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI LA. SS/B,50.94 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.41,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI LC1 (CITOSOL DE HEPATOCITO),168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.42,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI LKM,56.55 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.43,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI MI2,168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.44,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI nDNA,23.30 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.45,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI NOR,168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.46,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS PMSCL,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.47,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI RO. SS/A,50.94 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.48,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI SCL 70,84.61 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.49,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI SM,50.94 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.50,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI SP 100,168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.51,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTI U1RNP,50.94 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.52,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIADRENALES,157.16 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.53,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIANTÍGENOS DE AVES,22.45 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.54,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIANTÍGENOS NUCLEARES EXTRAÍBLES,78.58 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.55,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICARDIOLIPINA IGA,37.33 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.56,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICARDIOLIPINA IGG,37.33 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.57,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICARDIOLIPINA IGM,37.33 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.58,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICÉLULAS BETA PANCREATICAS,224.51 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.59,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICÉLULAS DE PURKINJE (Yo),168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.60,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICÉLULAS PARIETALES GASTRICAS,56.13 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.61,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICENTRÓMERO,44.90 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.62,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICITOPLASMA DE NEUTRÓFILO (MIELOPEROXIDASA),50.94 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.63,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICITOPLASMA DE NEUTRÓFILO (OTRAS ESPECIFICIDADES),168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.64,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTICITOPLASMA DE NEUTRÓFILOS. PATRON CITOPLÁSMICO,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.65,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIDECARBOXILASA DEL ACIDO GLUTÁMICO,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.66,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIENDOMISIO IgA,43.95 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.67,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIENDOMISIO IgG,43.95 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.68,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIENTEROCITOS,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.69,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIESPERMATOZOIDES,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.70,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIESTREPTOLISINA O,7.94 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.71,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIFACTOR INTRINSECO,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.72,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIFIBRILARINA,168.38 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.73,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIFOSFATIDILSERINA,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.74,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIGANGLIÓSIDOS,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.75,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIGLIADINA IGA,39.71 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.76,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIGLIADINA IGG,39.71 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.77,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIHIPÓFISIS,145.93 
I. ATENCIÓN PRIMARIA,I.6 LABORATORIOS CLÍNICOS,I.6.1.78,LABORATORIOS CLÍNICOS.  ANÁLISIS CLÍNICOS: ANTICUERPOS ANTIHISTONAS,78.58 
