LTLA_name,LTLA_code,specimen_date,n,percent,sgtf,total,conf_low,conf_high
Barnsley,E08000016,05/11/2021,115,100,Cases with confirmed S-gene,115,95.97152782,100
Barnsley,E08000016,06/11/2021,114,100,Cases with confirmed S-gene,114,95.93735542,100
Barnsley,E08000016,08/11/2021,127,100,Cases with confirmed S-gene,127,96.34086791,100
Barnsley,E08000016,09/11/2021,152,100,Cases with confirmed S-gene,152,96.92769526,100
Barnsley,E08000016,10/11/2021,128,100,Cases with confirmed S-gene,128,96.36861248,100
Barnsley,E08000016,11/11/2021,126,100,Cases with confirmed S-gene,126,96.31269614,100
Barnsley,E08000016,12/11/2021,134,100,Cases with confirmed S-gene,134,96.52662901,100
Barnsley,E08000016,13/11/2021,107,100,Cases with confirmed S-gene,107,95.6808912,100
Barnsley,E08000016,14/11/2021,114,100,Cases with confirmed S-gene,114,95.93735542,100
Barnsley,E08000016,15/11/2021,153,100,Cases with confirmed S-gene,153,96.9472783,100
Barnsley,E08000016,16/11/2021,171,100,Cases with confirmed S-gene,171,97.26147744,100
Barnsley,E08000016,17/11/2021,136,100,Cases with confirmed S-gene,136,96.57628893,100
Barnsley,E08000016,18/11/2021,124,100,Cases with confirmed S-gene,124,96.25503088,100
Barnsley,E08000016,19/11/2021,109,100,Cases with confirmed S-gene,109,95.75741217,100
Barnsley,E08000016,22/11/2021,113,100,Cases with confirmed S-gene,113,95.90259833,100
Barnsley,E08000016,23/11/2021,135,100,Cases with confirmed S-gene,135,96.55163774,100
Barnsley,E08000016,24/11/2021,133,100,Cases with confirmed S-gene,133,96.50125488,100
Barnsley,E08000016,25/11/2021,109,100,Cases with confirmed S-gene,109,95.75741217,100
Barnsley,E08000016,26/11/2021,125,100,Cases with confirmed S-gene,125,96.28408721,100
Barnsley,E08000016,29/11/2021,151,100,Cases with confirmed S-gene,151,96.90785936,100
Barnsley,E08000016,30/11/2021,174,100,Cases with confirmed S-gene,174,97.30766196,100
Barnsley,E08000016,01/12/2021,145,100,Cases with confirmed S-gene,145,96.78324834,100
Barnsley,E08000016,02/12/2021,113,100,Cases with confirmed S-gene,113,95.90259833,100
Barnsley,E08000016,03/12/2021,124,100,Cases with confirmed S-gene,124,96.25503088,100
Barnsley,E08000016,05/12/2021,103,99.04,Cases with confirmed S-gene,104,93.98979364,99.94978711
Barnsley,E08000016,05/12/2021,1,0.96,Cases with confirmed SGTF,104,0.050212894,6.010206362
Barnsley,E08000016,06/12/2021,133,99.25,Cases with confirmed S-gene,134,95.29565904,99.96103235
Barnsley,E08000016,06/12/2021,1,0.75,Cases with confirmed SGTF,134,0.038967646,4.704340962
Barnsley,E08000016,07/12/2021,109,97.32,Cases with confirmed S-gene,112,91.79134698,99.30567941
Barnsley,E08000016,07/12/2021,3,2.68,Cases with confirmed SGTF,112,0.694320589,8.208653017
Barnsley,E08000016,08/12/2021,115,96.64,Cases with confirmed S-gene,119,91.10338605,98.91778081
Barnsley,E08000016,08/12/2021,4,3.36,Cases with confirmed SGTF,119,1.082219194,8.896613946
Barnsley,E08000016,09/12/2021,111,96.52,Cases with confirmed S-gene,115,90.8060639,98.87994042
Barnsley,E08000016,09/12/2021,4,3.48,Cases with confirmed SGTF,115,1.120059576,9.193936099
Basildon,E07000066,28/11/2021,102,99.03,Cases with confirmed S-gene,103,93.93366351,99.9492994
Basildon,E07000066,28/11/2021,1,0.97,Cases with confirmed SGTF,103,0.050700599,6.066336493
Basildon,E07000066,29/11/2021,112,99.12,Cases with confirmed S-gene,113,94.45181924,99.95378786
Basildon,E07000066,29/11/2021,1,0.88,Cases with confirmed SGTF,113,0.046212137,5.548180759
Basildon,E07000066,30/11/2021,108,99.08,Cases with confirmed S-gene,109,94.25555377,99.95209135
Basildon,E07000066,30/11/2021,1,0.92,Cases with confirmed SGTF,109,0.047908655,5.74444623
Basildon,E07000066,01/12/2021,138,100,Cases with confirmed S-gene,138,96.62454887,100
Basildon,E07000066,02/12/2021,136,99.27,Cases with confirmed S-gene,137,95.39570041,99.96188592
Basildon,E07000066,02/12/2021,1,0.73,Cases with confirmed SGTF,137,0.038114076,4.604299588
Basildon,E07000066,03/12/2021,119,98.35,Cases with confirmed S-gene,121,93.56035118,99.71319002
Basildon,E07000066,03/12/2021,2,1.65,Cases with confirmed SGTF,121,0.286809981,6.439648822
Basildon,E07000066,05/12/2021,107,99.07,Cases with confirmed S-gene,108,94.20429859,99.95164757
Basildon,E07000066,05/12/2021,1,0.93,Cases with confirmed SGTF,108,0.048352428,5.795701412
Basildon,E07000066,06/12/2021,144,94.74,Cases with confirmed S-gene,152,89.54339158,97.53216151
Basildon,E07000066,06/12/2021,8,5.26,Cases with confirmed SGTF,152,2.467838488,10.45660842
Basildon,E07000066,07/12/2021,110,94.02,Cases with confirmed S-gene,117,87.62240156,97.35312848
Basildon,E07000066,07/12/2021,7,5.98,Cases with confirmed SGTF,117,2.646871522,12.37759844
Basildon,E07000066,08/12/2021,122,85.92,Cases with confirmed S-gene,142,78.84617384,90.97946005
Basildon,E07000066,08/12/2021,20,14.08,Cases with confirmed SGTF,142,9.02053995,21.15382616
Basildon,E07000066,09/12/2021,106,79.7,Cases with confirmed S-gene,133,71.6649119,85.97640505
Basildon,E07000066,09/12/2021,27,20.3,Cases with confirmed SGTF,133,14.02359495,28.3350881
Basildon,E07000066,10/12/2021,107,73.79,Cases with confirmed S-gene,145,65.7228085,80.5770621
Basildon,E07000066,10/12/2021,38,26.21,Cases with confirmed SGTF,145,19.4229379,34.2771915
Basildon,E07000066,12/12/2021,67,58.26,Cases with confirmed S-gene,115,48.69084075,67.27151316
Basildon,E07000066,12/12/2021,48,41.74,Cases with confirmed SGTF,115,32.72848684,51.30915925
Basildon,E07000066,13/12/2021,66,45.21,Cases with confirmed S-gene,146,37.03023367,53.63685072
Basildon,E07000066,13/12/2021,80,54.79,Cases with confirmed SGTF,146,46.36314928,62.96976633
Bedford,E06000055,08/12/2021,94,86.24,Cases with confirmed S-gene,109,78.00360768,91.83724276
Bedford,E06000055,08/12/2021,15,13.76,Cases with confirmed SGTF,109,8.162757244,21.99639232
Bedford,E06000055,10/12/2021,104,86.67,Cases with confirmed S-gene,120,78.95699228,91.95087552
Bedford,E06000055,10/12/2021,16,13.33,Cases with confirmed SGTF,120,8.049124479,21.04300772
Bedford,E06000055,11/12/2021,106,90.6,Cases with confirmed S-gene,117,83.43450349,94.9816382
Bedford,E06000055,11/12/2021,11,9.4,Cases with confirmed SGTF,117,5.018361802,16.56549651
Bexley,E09000004,25/11/2021,123,100,Cases with confirmed S-gene,123,96.22551656,100
Bexley,E09000004,29/11/2021,125,100,Cases with confirmed S-gene,125,96.28408721,100
Bexley,E09000004,10/12/2021,96,48.48,Cases with confirmed S-gene,198,41.37235905,55.65708297
Bexley,E09000004,10/12/2021,102,51.52,Cases with confirmed SGTF,198,44.34291703,58.62764095
Bexley,E09000004,12/12/2021,76,43.43,Cases with confirmed S-gene,175,36.02991699,51.12039321
Bexley,E09000004,12/12/2021,99,56.57,Cases with confirmed SGTF,175,48.87960679,63.97008301
Bexley,E09000004,13/12/2021,49,28,Cases with confirmed S-gene,175,21.6157111,35.36944651
Bexley,E09000004,13/12/2021,126,72,Cases with confirmed SGTF,175,64.63055349,78.3842889
Birmingham,E08000025,01/11/2021,486,100,Cases with confirmed S-gene,486,99.02236909,100
Birmingham,E08000025,02/11/2021,396,100,Cases with confirmed S-gene,396,98.80233864,100
Birmingham,E08000025,03/11/2021,339,100,Cases with confirmed S-gene,339,98.60324344,100
Birmingham,E08000025,04/11/2021,336,100,Cases with confirmed S-gene,336,98.59091494,100
Birmingham,E08000025,05/11/2021,199,100,Cases with confirmed S-gene,199,97.63941764,100
Birmingham,E08000025,06/11/2021,160,100,Cases with confirmed S-gene,160,97.07766808,100
Birmingham,E08000025,07/11/2021,137,100,Cases with confirmed S-gene,137,96.60059017,100
Birmingham,E08000025,08/11/2021,190,99.48,Cases with confirmed S-gene,191,96.67028155,99.97266402
Birmingham,E08000025,08/11/2021,1,0.52,Cases with confirmed SGTF,191,0.027335979,3.329718454
Birmingham,E08000025,09/11/2021,259,99.62,Cases with confirmed S-gene,260,97.54032998,99.97991975
Birmingham,E08000025,09/11/2021,1,0.38,Cases with confirmed SGTF,260,0.020080249,2.45967002
Birmingham,E08000025,10/11/2021,201,100,Cases with confirmed S-gene,201,97.66246059,100
Birmingham,E08000025,11/11/2021,192,100,Cases with confirmed S-gene,192,97.55506185,100
Birmingham,E08000025,12/11/2021,191,100,Cases with confirmed S-gene,191,97.54251635,100
Birmingham,E08000025,13/11/2021,243,100,Cases with confirmed S-gene,243,98.06012156,100
Birmingham,E08000025,14/11/2021,183,100,Cases with confirmed S-gene,183,97.43731899,100
Birmingham,E08000025,15/11/2021,422,100,Cases with confirmed S-gene,422,98.87545515,100
Birmingham,E08000025,16/11/2021,470,100,Cases with confirmed S-gene,470,98.98936085,100
Birmingham,E08000025,17/11/2021,350,99.72,Cases with confirmed S-gene,351,98.17072302,99.98512637
Birmingham,E08000025,17/11/2021,1,0.28,Cases with confirmed SGTF,351,0.01487363,1.829276984
Birmingham,E08000025,18/11/2021,439,100,Cases with confirmed S-gene,439,98.91862048,100
Birmingham,E08000025,19/11/2021,412,99.76,Cases with confirmed S-gene,413,98.44266089,99.98735944
Birmingham,E08000025,19/11/2021,1,0.24,Cases with confirmed SGTF,413,0.012640556,1.557339114
Birmingham,E08000025,20/11/2021,379,99.74,Cases with confirmed S-gene,380,98.30884887,99.98626159
Birmingham,E08000025,20/11/2021,1,0.26,Cases with confirmed SGTF,380,0.013738411,1.691151127
Birmingham,E08000025,21/11/2021,337,99.41,Cases with confirmed S-gene,339,97.64995176,99.89774643
Birmingham,E08000025,21/11/2021,2,0.59,Cases with confirmed SGTF,339,0.102253573,2.350048245
Birmingham,E08000025,22/11/2021,495,99.8,Cases with confirmed S-gene,496,98.70114711,99.98947488
Birmingham,E08000025,22/11/2021,1,0.2,Cases with confirmed SGTF,496,0.010525121,1.29885289
Birmingham,E08000025,23/11/2021,431,100,Cases with confirmed S-gene,431,98.89872777,100
Birmingham,E08000025,24/11/2021,386,99.74,Cases with confirmed S-gene,387,98.33912038,99.98651011
Birmingham,E08000025,24/11/2021,1,0.26,Cases with confirmed SGTF,387,0.013489885,1.660879623
Birmingham,E08000025,25/11/2021,461,99.78,Cases with confirmed S-gene,462,98.60639358,99.98870023
Birmingham,E08000025,25/11/2021,1,0.22,Cases with confirmed SGTF,462,0.011299768,1.393606417
Birmingham,E08000025,26/11/2021,344,99.71,Cases with confirmed S-gene,345,98.13927983,99.98486767
Birmingham,E08000025,26/11/2021,1,0.29,Cases with confirmed SGTF,345,0.015132334,1.860720172
Birmingham,E08000025,27/11/2021,223,100,Cases with confirmed S-gene,223,97.88912071,100
Birmingham,E08000025,28/11/2021,212,100,Cases with confirmed S-gene,212,97.78156513,100
Birmingham,E08000025,29/11/2021,491,99.59,Cases with confirmed S-gene,493,98.37775605,99.92970175
Birmingham,E08000025,29/11/2021,2,0.41,Cases with confirmed SGTF,493,0.07029825,1.622243948
Birmingham,E08000025,30/11/2021,475,100,Cases with confirmed S-gene,475,98.99991286,100
Birmingham,E08000025,01/12/2021,491,99.39,Cases with confirmed S-gene,494,98.08200633,99.84302939
Birmingham,E08000025,01/12/2021,3,0.61,Cases with confirmed SGTF,494,0.156970611,1.917993666
Birmingham,E08000025,02/12/2021,486,99.79,Cases with confirmed S-gene,487,98.67734221,99.98928035
Birmingham,E08000025,02/12/2021,1,0.21,Cases with confirmed SGTF,487,0.010719648,1.322657793
Birmingham,E08000025,03/12/2021,274,99.64,Cases with confirmed S-gene,275,97.67253955,99.98101521
Birmingham,E08000025,03/12/2021,1,0.36,Cases with confirmed SGTF,275,0.018984794,2.327460451
Birmingham,E08000025,04/12/2021,128,100,Cases with confirmed S-gene,128,96.36861248,100
Birmingham,E08000025,05/12/2021,159,99.38,Cases with confirmed S-gene,160,96.04114714,99.96736627
Birmingham,E08000025,05/12/2021,1,0.62,Cases with confirmed SGTF,160,0.032633727,3.958852864
Birmingham,E08000025,06/12/2021,256,99.22,Cases with confirmed S-gene,258,96.92413838,99.86561657
Birmingham,E08000025,06/12/2021,2,0.78,Cases with confirmed SGTF,258,0.134383434,3.075861615
Birmingham,E08000025,07/12/2021,247,96.48,Cases with confirmed S-gene,256,93.20662487,98.27474342
Birmingham,E08000025,07/12/2021,9,3.52,Cases with confirmed SGTF,256,1.725256578,6.79337513
Birmingham,E08000025,08/12/2021,262,93.57,Cases with confirmed S-gene,280,89.85667701,96.0354916
Birmingham,E08000025,08/12/2021,18,6.43,Cases with confirmed SGTF,280,3.964508404,10.14332299
Birmingham,E08000025,09/12/2021,231,92.4,Cases with confirmed S-gene,250,88.20115068,95.23945795
Birmingham,E08000025,09/12/2021,19,7.6,Cases with confirmed SGTF,250,4.760542053,11.79884932
Birmingham,E08000025,10/12/2021,430,83.98,Cases with confirmed S-gene,512,80.45164824,86.99548757
Birmingham,E08000025,10/12/2021,82,16.02,Cases with confirmed SGTF,512,13.00451243,19.54835176
Birmingham,E08000025,11/12/2021,306,80.53,Cases with confirmed S-gene,380,76.10725445,84.3143349
Birmingham,E08000025,11/12/2021,74,19.47,Cases with confirmed SGTF,380,15.6856651,23.89274555
Birmingham,E08000025,12/12/2021,265,76.15,Cases with confirmed S-gene,348,71.25056354,80.45909493
Birmingham,E08000025,12/12/2021,83,23.85,Cases with confirmed SGTF,348,19.54090507,28.74943646
Birmingham,E08000025,13/12/2021,254,67.02,Cases with confirmed S-gene,379,61.99983434,71.6861108
Birmingham,E08000025,13/12/2021,125,32.98,Cases with confirmed SGTF,379,28.3138892,38.00016566
Bolton,E08000001,01/11/2021,119,100,Cases with confirmed S-gene,119,96.10265585,100
Bolton,E08000001,08/11/2021,131,100,Cases with confirmed S-gene,131,96.44937794,100
Bolton,E08000001,09/11/2021,142,100,Cases with confirmed S-gene,142,96.71709912,100
Bolton,E08000001,10/11/2021,110,100,Cases with confirmed S-gene,110,95.79466482,100
Bolton,E08000001,11/11/2021,121,100,Cases with confirmed S-gene,121,96.16506997,100
Bolton,E08000001,12/11/2021,126,100,Cases with confirmed S-gene,126,96.31269614,100
Bolton,E08000001,15/11/2021,173,100,Cases with confirmed S-gene,173,97.29244118,100
Bolton,E08000001,16/11/2021,159,100,Cases with confirmed S-gene,159,97.05972711,100
Bolton,E08000001,17/11/2021,145,100,Cases with confirmed S-gene,145,96.78324834,100
Bolton,E08000001,18/11/2021,138,100,Cases with confirmed S-gene,138,96.62454887,100
Bolton,E08000001,19/11/2021,109,100,Cases with confirmed S-gene,109,95.75741217,100
Bolton,E08000001,20/11/2021,101,100,Cases with confirmed S-gene,101,95.43381921,100
Bolton,E08000001,21/11/2021,114,100,Cases with confirmed S-gene,114,95.93735542,100
Bolton,E08000001,22/11/2021,120,100,Cases with confirmed S-gene,120,96.13411481,100
Bolton,E08000001,23/11/2021,121,100,Cases with confirmed S-gene,121,96.16506997,100
Bolton,E08000001,24/11/2021,116,100,Cases with confirmed S-gene,116,96.00513014,100
Bolton,E08000001,25/11/2021,109,99.09,Cases with confirmed S-gene,110,94.3059104,99.95252705
Bolton,E08000001,25/11/2021,1,0.91,Cases with confirmed SGTF,110,0.047472954,5.694089595
Bolton,E08000001,26/11/2021,110,99.1,Cases with confirmed S-gene,111,94.35539191,99.95295489
Bolton,E08000001,26/11/2021,1,0.9,Cases with confirmed SGTF,111,0.047045106,5.644608086
Bolton,E08000001,29/11/2021,129,100,Cases with confirmed S-gene,129,96.39593948,100
Bolton,E08000001,30/11/2021,102,100,Cases with confirmed S-gene,102,95.4769423,100
Bolton,E08000001,01/12/2021,144,100,Cases with confirmed S-gene,144,96.7614968,100
Bolton,E08000001,02/12/2021,129,97.73,Cases with confirmed S-gene,132,92.99418469,99.41120827
Bolton,E08000001,02/12/2021,3,2.27,Cases with confirmed SGTF,132,0.588791727,7.005815306
Bolton,E08000001,03/12/2021,103,97.17,Cases with confirmed S-gene,106,91.34560498,99.26622505
Bolton,E08000001,03/12/2021,3,2.83,Cases with confirmed SGTF,106,0.733774954,8.654395023
Bolton,E08000001,07/12/2021,91,83.49,Cases with confirmed S-gene,109,74.88626361,89.66079054
Bolton,E08000001,07/12/2021,18,16.51,Cases with confirmed SGTF,109,10.33920946,25.11373639
Bolton,E08000001,10/12/2021,83,74.11,Cases with confirmed S-gene,112,64.81667001,81.71267843
Bolton,E08000001,10/12/2021,29,25.89,Cases with confirmed SGTF,112,18.28732157,35.18332999
Bolton,E08000001,11/12/2021,81,72.32,Cases with confirmed S-gene,112,62.93002398,80.15430539
Bolton,E08000001,11/12/2021,31,27.68,Cases with confirmed SGTF,112,19.84569461,37.06997602
Bolton,E08000001,12/12/2021,78,74.29,Cases with confirmed S-gene,105,64.66657608,82.09516931
Bolton,E08000001,12/12/2021,27,25.71,Cases with confirmed SGTF,105,17.90483069,35.33342392
Bolton,E08000001,13/12/2021,76,58.91,Cases with confirmed S-gene,129,49.89888909,67.39179774
Bolton,E08000001,13/12/2021,53,41.09,Cases with confirmed SGTF,129,32.60820226,50.10111091
"Bournemouth, Christchurch and Poole",E06000058,03/11/2021,119,100,Cases with confirmed S-gene,119,96.10265585,100
"Bournemouth, Christchurch and Poole",E06000058,08/11/2021,130,100,Cases with confirmed S-gene,130,96.42285828,100
"Bournemouth, Christchurch and Poole",E06000058,10/11/2021,111,100,Cases with confirmed S-gene,111,95.83126897,100
"Bournemouth, Christchurch and Poole",E06000058,11/11/2021,126,100,Cases with confirmed S-gene,126,96.31269614,100
"Bournemouth, Christchurch and Poole",E06000058,15/11/2021,174,100,Cases with confirmed S-gene,174,97.30766196,100
"Bournemouth, Christchurch and Poole",E06000058,16/11/2021,171,100,Cases with confirmed S-gene,171,97.26147744,100
"Bournemouth, Christchurch and Poole",E06000058,18/11/2021,122,100,Cases with confirmed S-gene,122,96.19553335,100
"Bournemouth, Christchurch and Poole",E06000058,22/11/2021,113,100,Cases with confirmed S-gene,113,95.90259833,100
"Bournemouth, Christchurch and Poole",E06000058,23/11/2021,106,100,Cases with confirmed S-gene,106,95.64158619,100
"Bournemouth, Christchurch and Poole",E06000058,25/11/2021,121,100,Cases with confirmed S-gene,121,96.16506997,100
"Bournemouth, Christchurch and Poole",E06000058,30/11/2021,113,100,Cases with confirmed S-gene,113,95.90259833,100
"Bournemouth, Christchurch and Poole",E06000058,03/12/2021,114,100,Cases with confirmed S-gene,114,95.93735542,100
"Bournemouth, Christchurch and Poole",E06000058,04/12/2021,143,100,Cases with confirmed S-gene,143,96.73944909,100
"Bournemouth, Christchurch and Poole",E06000058,07/12/2021,135,95.74,Cases with confirmed S-gene,141,90.56520202,98.25847099
"Bournemouth, Christchurch and Poole",E06000058,07/12/2021,6,4.26,Cases with confirmed SGTF,141,1.741529006,9.43479798
"Bournemouth, Christchurch and Poole",E06000058,08/12/2021,112,92.56,Cases with confirmed S-gene,121,85.95854092,96.32679965
"Bournemouth, Christchurch and Poole",E06000058,08/12/2021,9,7.44,Cases with confirmed SGTF,121,3.673200347,14.04145908
"Bournemouth, Christchurch and Poole",E06000058,13/12/2021,75,72.82,Cases with confirmed S-gene,103,63.00646897,80.8933542
"Bournemouth, Christchurch and Poole",E06000058,13/12/2021,28,27.18,Cases with confirmed SGTF,103,19.1066458,36.99353103
Bradford,E08000032,01/11/2021,254,100,Cases with confirmed S-gene,254,98.1428664,100
Bradford,E08000032,02/11/2021,194,100,Cases with confirmed S-gene,194,97.57977249,100
Bradford,E08000032,03/11/2021,188,100,Cases with confirmed S-gene,188,97.50409526,100
Bradford,E08000032,04/11/2021,180,100,Cases with confirmed S-gene,180,97.39551017,100
Bradford,E08000032,05/11/2021,164,100,Cases with confirmed S-gene,164,97.14729471,100
Bradford,E08000032,06/11/2021,128,100,Cases with confirmed S-gene,128,96.36861248,100
Bradford,E08000032,07/11/2021,142,100,Cases with confirmed S-gene,142,96.71709912,100
Bradford,E08000032,08/11/2021,162,100,Cases with confirmed S-gene,162,97.11290112,100
Bradford,E08000032,09/11/2021,197,100,Cases with confirmed S-gene,197,97.61591587,100
Bradford,E08000032,10/11/2021,191,100,Cases with confirmed S-gene,191,97.54251635,100
Bradford,E08000032,11/11/2021,165,100,Cases with confirmed S-gene,165,97.16418604,100
Bradford,E08000032,12/11/2021,170,99.42,Cases with confirmed S-gene,171,96.28989082,99.96946604
Bradford,E08000032,12/11/2021,1,0.58,Cases with confirmed SGTF,171,0.030533961,3.710109185
Bradford,E08000032,13/11/2021,123,100,Cases with confirmed S-gene,123,96.22551656,100
Bradford,E08000032,14/11/2021,134,100,Cases with confirmed S-gene,134,96.52662901,100
Bradford,E08000032,15/11/2021,216,100,Cases with confirmed S-gene,216,97.82192134,100
Bradford,E08000032,16/11/2021,166,100,Cases with confirmed S-gene,166,97.18087851,100
Bradford,E08000032,17/11/2021,181,100,Cases with confirmed S-gene,181,97.4095972,100
Bradford,E08000032,18/11/2021,208,99.52,Cases with confirmed S-gene,209,96.95157731,99.97501879
Bradford,E08000032,18/11/2021,1,0.48,Cases with confirmed SGTF,209,0.024981207,3.048422692
Bradford,E08000032,19/11/2021,203,100,Cases with confirmed S-gene,203,97.68505801,100
Bradford,E08000032,20/11/2021,132,99.25,Cases with confirmed S-gene,133,95.26133884,99.96073927
Bradford,E08000032,20/11/2021,1,0.75,Cases with confirmed SGTF,133,0.03926073,4.738661162
Bradford,E08000032,21/11/2021,112,100,Cases with confirmed S-gene,112,95.8672414,100
Bradford,E08000032,22/11/2021,205,99.51,Cases with confirmed S-gene,206,96.90804229,99.97465491
Bradford,E08000032,22/11/2021,1,0.49,Cases with confirmed SGTF,206,0.025345086,3.091957708
Bradford,E08000032,23/11/2021,209,100,Cases with confirmed S-gene,209,97.75030275,100
Bradford,E08000032,24/11/2021,192,99.48,Cases with confirmed S-gene,193,96.70407418,99.97294736
Bradford,E08000032,24/11/2021,1,0.52,Cases with confirmed SGTF,193,0.027052642,3.295925817
Bradford,E08000032,25/11/2021,167,98.82,Cases with confirmed S-gene,169,95.34421298,99.79475564
Bradford,E08000032,25/11/2021,2,1.18,Cases with confirmed SGTF,169,0.20524436,4.655787021
Bradford,E08000032,26/11/2021,160,100,Cases with confirmed S-gene,160,97.07766808,100
Bradford,E08000032,28/11/2021,105,99.06,Cases with confirmed S-gene,106,94.09899464,99.9507349
Bradford,E08000032,28/11/2021,1,0.94,Cases with confirmed SGTF,106,0.049265102,5.901005355
Bradford,E08000032,29/11/2021,199,100,Cases with confirmed S-gene,199,97.63941764,100
Bradford,E08000032,30/11/2021,251,99.6,Cases with confirmed S-gene,252,97.46348487,99.97928218
Bradford,E08000032,30/11/2021,1,0.4,Cases with confirmed SGTF,252,0.020717824,2.536515132
Bradford,E08000032,01/12/2021,251,98.82,Cases with confirmed S-gene,254,96.30096314,99.69447133
Bradford,E08000032,01/12/2021,3,1.18,Cases with confirmed SGTF,254,0.305528672,3.699036862
Bradford,E08000032,02/12/2021,237,100,Cases with confirmed S-gene,237,98.01180282,100
Bradford,E08000032,03/12/2021,187,100,Cases with confirmed S-gene,187,97.49101987,100
Bradford,E08000032,04/12/2021,151,100,Cases with confirmed S-gene,151,96.90785936,100
Bradford,E08000032,05/12/2021,152,100,Cases with confirmed S-gene,152,96.92769526,100
Bradford,E08000032,06/12/2021,218,99.54,Cases with confirmed S-gene,219,97.08823702,99.97615971
Bradford,E08000032,06/12/2021,1,0.46,Cases with confirmed SGTF,219,0.023840292,2.911762983
Bradford,E08000032,07/12/2021,205,97.16,Cases with confirmed S-gene,211,93.6223768,98.83885259
Bradford,E08000032,07/12/2021,6,2.84,Cases with confirmed SGTF,211,1.161147408,6.377623196
Bradford,E08000032,08/12/2021,240,96,Cases with confirmed S-gene,250,92.54380513,97.95460428
Bradford,E08000032,08/12/2021,10,4,Cases with confirmed SGTF,250,2.045395717,7.456194871
Bradford,E08000032,09/12/2021,200,93.02,Cases with confirmed S-gene,215,88.53146157,95.90483223
Bradford,E08000032,09/12/2021,15,6.98,Cases with confirmed SGTF,215,4.095167767,11.46853843
